Código;Nombre;Dirección;C.P.;Municipio;Pedanía;Teléfono;Fax;Email;URL Real;URL Corta;Latitud;Longitud;Descripción;Foto 1;Foto 2;Foto 3;Foto 4;Foto 5;Foto 6;Foto 7;Foto 8;Foto 9;Foto 10;Foto 11;Foto 12;Foto 13;Foto 14
145;CENTRO LA ALBARDA DE RITOS Y TRADICIONES DEL CAMPO DE MOLINA;Avd. de la Albarda, 74 - Pedanía La Albarda;30507;Molina de Segura;;Concejalía de Turismo Tlf. 968 388  Ext.522 / 523;;;;;-1.2121462;38.1429236;Lo escarpado de su orografía, las duras condiciones climáticas y la emigración han determinado que el Campo de Molina sufra un estancamiento demográfico, pese a ocupar un 63% de la superficie del término, que ha hecho que se mantengan intactos en este entorno y hasta la actualidad, usos, tradiciones y creencias mágicas de origen secular.<p>PLANTA BAJA<br>Comenzamos mostrando al visitante la diversa riqueza natural y las formas de vida del Campo de Molina. A la vez se da cuenta sobre la intervención del hombre en el medio y la conservación de los ecosistemas. Esto facilita la interpretación del Patrimonio Rural tangible e intangible, las formas de vida, usos y costumbres de sus habitantes. Lugar destacado en esta planta ocupan los ritos mágicos y las muestras del calendario festivo y anual del la comarca. Viejas creencias ancestrales que se han conservado en el tiempo y que conforman la cosmovisión de sus gentes. El patrimonio inmaterial en todo su esplendor. <p>PRIMERA PLANTA<br>Recoge la recreación de una antigua aula de escuela unitaria. Pupitres, mapas y utensilios que presentan otras formas de enseñanza alejadas en el tiempo.<p>ACTIVIDADES<br>A partir del año 2008 se lleva a cabo desde la Concejalía de Turismo un programa de actividades en el museo. Van dirigidas al visitante y al grupo familiar. Es una forma de dar a conocer esta parte del municipio molinense.<p>Las actividades tienen lugar el primer domingo de cada mes. Se trata de talleres, narraciones de leyendas, actividades relacionadas con la agricultura, juegos tradicionales, usos tradicionales de las plantas, realización de recetas de cocina, etc.  ;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/museos_1_145_1_g.jpg;;;;;;;;;;;;;
101;Ceutimagina;C/ San Lucas, s/n;30562;Ceutí;CEUTI;868 923 132;868 923 340;informacion@ceutimagina.es;http://www.ceutimagina.es;;4216226;651935;Ceutimagina es un espacio para las Artes y las Ciencias, un nuevo concepto de museo, donde dentro de un singular entorno arquitectónico, una antigua fábrica de conservas completamente remodelada, donde los visitantes podrán disfrutar de una <b>variada y sorprendente oferta cultural</b>.<br>Un museo dinámico, cuyas temáticas y contenidos se suceden acercando al visitante a las más exitosas exposiciones de grandes museos como el Museo de Historia Natural de Londres o los museos en Herbe o de la Ciencia y la Industria de París. Complementa su oferta lúdica con una firme voluntad didáctica mediante exhibiciones, talleres y mesas de experimentos, <b>obras de autores consagrados de la talla de Goya o Dalí</b> en la Sala de Arte. <br><br>Ceutimagina es además una puerta de entrada a la amplia <b>muestra cultural del municipio de Ceutí</b>, los museos Antonio Campillo, 7 chimeneas, o el Museo al Aire Libre son tan solo algunos ejemplos de la rica diversidad de sensaciones y experiencias que se abren ante los ojos de sus visitantes.;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000520041_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000520042_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000520045_g.jpg;;;;;;;;;;;
28;Colección Cofradía del Rollo;C/ Portillo de la Glorieta,  24;30520;Jumilla;JUMILLA;667 455 506;;info@cofradiadelrollo.com;;;4260108;646339;<p>El museo cuenta con una colecci&oacute,n cercana a los 150 objetos relacionados con el <strong>Arte Sacro y la Semana Santa de Jumilla</strong>.</p><p>Pasos: Ecce-Homo (Gonz&aacute,lez Moreno, 1942), Descendimiento de la Cruz (Jos&eacute, Planes, 1952), Aparici&oacute,n a Santa Tom&aacute,s (Hern&aacute,ndez Navarro, 1985), Negaci&oacute,n de San Pedro (Hern&aacute,ndez Navarro, 1993).</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820011_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820012_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820013_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820014_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820015_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820016_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820017_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001820018_g.jpg;;;;;;
19;Colección Museo del Mar;C/ Lorenzo Morales, 1 Edif. Hogar del Pescador, 1ª planta;30740;San Pedro del Pinatar;SAN PEDRO DEL PINATAR;606 120 842;;museodelmarsanpedro@gmail.com;www.sanpedrodelpinatar.es;;4189884;694498;<p>Muestra una amplia variedad de colecciones de caracolas marinas, dentadura de peces, caparazones de moluscos, miniaturas de artes de pesca t&iacute,picas del Mar Menor (como las enca&ntilde,izadas de Punta de Algas), colecciones de nudos y mapas cartogr&aacute,ficos, etc.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000420031_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000420032_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00000420033_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/42003i4_g.jpg;;;;;;;;;;
58;Conjunto Monumental San Juan de Dios;C/ Eulogio Soriano, 4;30001;Murcia;MURCIA;968 214 541;;;www.museosdemurcia.com/mubam/sanjuan/;;4205815;664515;El museo recoge en la exposición permanente una <b>colección escultórica rica</b> e importante, donde podemos ver un recorrido estilístico desde el siglo XV al XIX. Además se conservan piezas suntuarias y decorativas y un interesante programa pictórico del siglo XVIII. La colección cuenta con cerca de 125 objetos relacionados con las artes decorativas.<br><br><a href=¿http://www.murciaturistica.es/PORTAL-2002/documentos/IYADOC6442010.pdf¿ target=¿_blank¿>Folleto Museo Iglesia San Juan de Dios </a>(2 Mb) <img src=¿http://www.murciaturistica.es/PORTAL-2006/img/icono_pdf.gif¿ alt=¿pdf¿ valign=¿absmiddle¿ margin=¿0¿ height=¿16¿ width=¿16¿><br><br>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00005920011_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00005920012_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00005920013_g.jpg;;;;;;;;;;;
43;Espacio Molinos del Río / Sala Caballerizas;Molinos del Río, 1;30002;Murcia;MURCIA;968 35 86 00;;museo.molinosdelrio@yto-murcia.es;www.molinosdelrio.org;;-1.130448;37.982224;El Museo de los Molinos de Río es uno de los mayores complejos molineros de Europa. Se sitúa sobre el río Segura. Se trata de una instalación rehabilitada en 1989, por el arquitecto Juan Navarro Baldeweg como Museo Hidráulico. Conserva la maquinaria y las piezas de veinticuatro molinos.<br>La Sala Caballerizas tiene exposiciones temporales.<br><br><strong>ÉPOCA:</strong> Siglo XVIII-XX<br><strong>ESTILO:</strong> Barroco y contemporáneo;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-43-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-43-2_g.jpg;;;;;;;;;;;;
103;Fundación Casa Pintada - Museo Cristóbal Gabarrón;C/ San Francisco, 14;30170;Mula;MULA;968 662 762 / 968 662 763;;info@fundacioncasapintada.es;http://www.gabarron.org/es/Fundaciones/Centros/MurciaMula/tabid/1281/Default.aspx;http://casapintada.gabarron.org;-1.489411;38.040872;<p>La Fundaci&oacute,n Casa Pintada es un proyecto cultural surgido y consolidado gracias a la colaboraci&oacute,n de la Fundaci&oacute,n Crist&oacute,bal Gabarr&oacute,n y el Ayuntamiento de Mula. Ubicado en una de las casas blasonadas m&aacute,s destacadas de la localidad, la denominada por sus excepcionales esgrafiados Casa Pintada, muestra un amplio recorrido por la trayectoria del artista Crist&oacute,bal Gabarr&oacute,n, siendo al mismo tiempo escaparate permanente de la nueva creatividad Murciana.<br /><br />Esta realidad que ha permitido el regreso a Mula de uno de sus artistas m&aacute,s reconocidos internacionalmente pretende establecerse como baluarte y vig&iacute,a de la cultura en la regi&oacute,n, siendo al mismo tiempo un referente de las culturas que tradicionalmente han estado presentes en esta regi&oacute,n, todo ello bajo el personal prisma y humanismo del artista Crist&oacute,bal Gabarr&oacute,n, ejemplo del necesario conocimiento de otras realidades y culturas.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-103-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-103-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-103-3_g.JPG;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-103-4_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-103-5_g.JPG;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-103-6_g.JPG;;;;;;;;
143;Fundación Pedro Cano;Avenida del Río Segura  S/N;30540;Blanca;BLANCA;968 778 446;;info@fundacionpedrocano.es;http://www.fundacionpedrocano.es;;-1.376453;38.178150;<p>La Fundaci&oacute,n Pedro Cano alberga algunos de los mejores trabajos del <strong>artista blanque&ntilde,o</strong> y una colecci&oacute,n de todo tipo de pinturas que forman unos <strong>dos mil dibujos</strong>, adem&aacute,s de ser la responsable de una gran cantidad de actividades culturales en todas las artes.<br /><br /><strong>Planta O</strong>. Alberga la serie &#39,Clausuras&#39,, la recepci&oacute,n y una tienda.<br /><br /><strong>Planta 1.</strong> &#39,Vivir pintando&#39,. Un recorrido cronol&oacute,gico. Se puede ver el primer &oacute,leo que Pedro realiz&oacute, a los once a&ntilde,os y obras tan significativas en la trayectoria art&iacute,stica del pintor como &#39,Retrato de mi madre&#39,, &#39,Equipaje&#39, y &#39,Pompeyano&#39,.<br />Tambi&eacute,n se exhiben otras pertenecientes a algunas de sus series m&aacute,s importantes, como &#39,59 East 7th Street&#39,, &#39,Hortus&#39, e &#39,Il Fiume.<br /><br /><strong>Planta 2.</strong> &#39,Obra en papel&#39, que re&uacute,ne, entre otras piezas, sus cuadernos de viaje y sus 55 acuarelas sobre &#39,Las ciudades invisibles&#39, de Italo Calvino, adem&aacute,s de algunas piezas de &#39,Clausuras&#39,.<br /><br /><strong>Planta 3</strong>. &#39,Exposiciones temporales&#39,.</p><p>&nbsp,</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/museos_1_143_1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00003220103_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00003220104_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00003220105_g.jpg;;;;;;;;;;
50;MASS. Museo Azul de la Semana Santa;C/ Cuesta de San Francisco, 2;30800;Lorca;LORCA;968 472 077;;info@pasoazul.com;http://www.pasoazul.com/;;-1.699726;37.673250;<p>La tradici&oacute,n del bordado lorquino, candidato a Patrimonio Cultural Inmaterial de la UNESCO, es el protagonista principal, junto con la imagen de la Stma. Virgen de los Dolores, de este museo. Por eso, usted tendr&aacute, el privilegio tambi&eacute,n de admirar el proceso de creaci&oacute,n de estas obras de arte, algunas de ellas declaradas B.I.C. (Bien de inter&eacute,s cultural), en el taller de bordados de la segunda planta.<br /><br />El Museo Azul de Semana Santa acoge en un hist&oacute,rico edificio, el antiguo Hospital de Beneficencia de San Juan de Dios, una amplia y representativa muestra de lo mejor del patrimonio de la Hermandad de Labradores (Paso Azul). As&iacute, como un recorrido por la historia de esta cofrad&iacute,a en la Semana Santa lorquina (declarada fiesta de Inter&eacute,s Tur&iacute,stico Internacional).<br /><br />Recientemente restaurado e inaugurado, este museo cuenta con tres plantas completamente accesibles dedicadas a ofrecer una visi&oacute,n de esta cofrad&iacute,a a trav&eacute,s de sus bordados, el taller, audiovisuales impactantes e im&aacute,genes de la historia del Paso Azul.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/MUSEOS_1_50_1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/MUSEOS_1_50_2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/MUSEOS_1_50_3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/MUSEOS_1_50_4_g.jpg;;;;;;;;;;
14;MUAL. Museo Arqueológico Municipal de Lorca;Plaza de Don Juan Moreno, s/n.;30800;Lorca;LORCA;968 406 267;;museoarqueologico@lorca.es;http://www.museoarqueologico.lorca.es;;-1.696850;37.678679;<p>El Museo Arqueol&oacute,gico Municipal de Lorca reabri&oacute,&nbsp,su exposici&oacute,n permanente el 23 de dicimebre de 2015&nbsp,tras los terremotos del&nbsp,<strong>11 de mayo de 2011</strong>, para mostrar una parte importante de la Historia de Lorca a trav&eacute,s de las colecciones arqueol&oacute,gicas. El visitante se va a encontrar con un museo totalmente&nbsp,<strong>renovado a partir del desarrollo de una nueva musealizaci&oacute,n,</strong>&nbsp,con la que se ha intentado potenciar la unidad y claridad en el discurso expositivo, a partir del hilo conductor generado por las huellas dejadas por nuestros antepasados en este territorio&nbsp,<strong>desde hace 30.000 a&ntilde,os</strong>Se suceden diferentes espacios donde las piezas seleccionadas se muestran teniendo presentes criterios sismoresistentes que garanticen su seguridad y la de los visitantes.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-4_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-5_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-6_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-7_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-8_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-9_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-10_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-14-11_g.jpg;;;
34;MUBBLA. Museo de Bordados del Paso Blanco;Conjunto Monumental de Santo Domingo, 8;30800;Lorca;LORCA;650 272 004 - 902 400 047;;secretaria@elpasoblanco.org;http://www.mubbla.org;;-1.696637;37.678027;<p>&gt,&gt, <a class='enlaces' href='http://www.murciaturistica.es/PORTAL-2002/documentos/IYADOC13072012.pdf' target='_blank'><strong>Consultar ficha de accesibilidad</strong></a> (PDF 1.844 Kb)</p><p>La iglesia del convento de Santo Domingo es la actual sede del Museo de Bordados del Paso Blanco y en ella se exhibe una muestra de los mejores <strong>bordados trabajados en seda y oro</strong>, as&iacute, como carros, armaduras y otros objetos que forman parte de la puesta en escena de los diferentes grupos que procesionan en Semana Santa.</p><p>En las capillas se pueden encontrar bordados relativos al rey Salom&oacute,n, la reina de Saba, la caballer&iacute,a jud&iacute,a, la Visi&oacute,n de San Juan con el Arc&aacute,ngel San Miguel y el demonio, el pueblo jud&iacute,o, el espectacular manto del anticristo y jinetes del Apocalipsis, etc. Todo ello adornado con cascos de la &eacute,poca, plumeros, escudos, insignias, etc</p><p>El <strong>taller de bordados</strong> cuenta con m&aacute,s de veinte personas dedicadas todo el a&ntilde,o al bordado. Estos est&aacute,n realizados en hilo de oro y seda natural y abarcan las distintas &eacute,pocas del bordado lorquino.</p><p>Se realizan visitas guiadas por el museo que incluyen adem&aacute,s del museo, la Capilla del Rosario, sede de la Cofrad&iacute,a, donde se pueden apreciar imaginer&iacute,a y retablos de gran valor art&iacute,stico.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/pasoblancoacceso_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mantos_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/pasoblancofachada_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/interior3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mantos3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mantos5_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mantos6_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mantos7_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mantos8_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/242001i11_g.jpg;;;;
5349;MUDEM - MUSEO DEL ENCLAVE DE LA MURALLA;Plaza del Enclave de la Muralla, s/n;30500;Molina de Segura;;968 38 85 62 / 968 38 85 00 Ext. 2510.;;felipe.gonzalez@molinadesegura.es;;;-1.214146;38.051199;<p>El Museo del Enclave de la Muralla (MUDEM) alberga parte de la muralla medieval andalus&iacute,. En total son 125 metros de yacimiento en el que destacan las torres, una de ellas es nonagonal, sin paralelos, algo infrecuente en su &eacute,poca. El objetivo es que el visitante conozca gracias a los avances tecnol&oacute,gicos, la historia de Molina desde el siglo XI hasta el XVI.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5349-1_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5349-2_g.jpg;;;;;;;;;;;;
86;MUPAEN. Museo de Bordados del Paso Encarnado;Eulogio Periago, 2;30800;Lorca;LORCA;968 472 456;;;http://www.pasoencarnado.es/;;-1.696286;37.682191;<p>&gt,&gt, <a class='enlaces' href='http://www.murciaturistica.es/PORTAL-2002/documentos/IYADOC13062012.pdf' target='_blank'><strong>Consultar ficha de accesibilidad</strong></a> (PDF 268 Kb)</p><p>Inaugurado el 10 de mayo de 2002, el museo se encuentra muy pr&oacute,ximo a la iglesia parroquial de San Crist&oacute,bal, sede de la Archicofrad&iacute,a.<br /><br />El museo cuenta con biblioteca, despachos, sala de reuniones y talleres de bordados. En &eacute,l podemos contemplar estandartes y banderas y las t&uacute,nicas del Tercio de Nazarenos de la Expiraci&oacute,n.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00002520031_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/252003i2_g.jpg;;;;;;;;;;;;
54;Museo Aeronáutico Municipal;Avda de la Libertad, 37;30710;Los Alcázares;LOS ALCÁZARES;968 582 107;;cultura@losalcazares.es;www.losalcazares.es;;4178839;689155;Junto al histórico aeródromo de Los Alcázares, este museo exhibe maquetas de los distintos aviones que marcaron época, fotografías aéreas, cascos, armas, hélices de avión, garitas de vigilancia, cañones antiaéreos, etc... que permiten apreciar objetivamente lo que representó la Base Aérea de Los Alcázares en la historia de la aeronáutica militar española.;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00004820011_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00004820012_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00004820013_g.jpg;;;;;;;;;;;
82;Museo al aire libre: 'Ceutí a Cielo Abierto';Sin domicilio (recorrido por la localidad);30562;Ceutí;CEUTI;968 692 540;;;;;-1.272254;38.0800864;<strong>Obras situadas en edificios p&uacute,blicos:</strong><br>  Ayuntamiento de Ceut&iacute,: <br>  - Desnudos en bronce (Jos&eacute, Planes)<br>  - El violinista (Paco Bar&oacute,n)<br>  Centro Cultural:<br>  - Vuelo rasante (Paco Bar&oacute,n)<br>  Biblioteca:<br>  - El cipr&eacute,s de Silos (Paco Bar&oacute,n)<br><br><strong>Obras situadas en espacios abiertos de reciente ubicaci&oacute,n: </strong><br>  - Torso (Eduardo Lastre)<br>  - Michelina (Fernando Bellver)<br>  - El Caballo de Troya (Pepe Yag&uuml,es)<br><br><strong>Obras situadas en la zona de Los Torraos:</strong><br>  - Murales costumbristas (Marisa Peagudo)<br>  - Monolito de entrada a Los Torraos (Diego Mirete)<br><br><strong>Otros autores con obra en el Pol&iacute,gono Industrial de Los Torraos:</strong><br>  - Jos&eacute, Noja y Jos&eacute, Luis S&aacute,nchez<br><br><strong>Obra situada en la salida a la autov&iacute,a de Murcia-Madrid:</strong><br>  - Zepti, espacio de luna (Antonio Mart&iacute,nez Torres)<br>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/acampillo-laciclista_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/amtneztorres_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/belzunce-mural3_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/carlosgm-eva_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/fbernal-elagricultor_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/josemolera_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/joseplanes-cervantes_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/jplanes_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/maya2-mural_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mompo-florero_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/oukaleele-mural_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/ppyagues-mentefuente_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/rafaelcanogar-testa_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/ssusarte-homenajemuj_g.jpg
80;Museo Arqueológico - Factoría Romana de Salazones;C/ La Torre esq. San Ginés ;30860;Mazarrón;PUERTO DE MAZARRÓN;968 59 52 42;;factoriaromanamazarron@hotmail.com;www.mazarron.es;;-1.2588612;37.5618948;<p>El Puerto de Mazarr&oacute,n constituy&oacute, durante la Antig&uuml,edad tard&iacute,a un importante centro econ&oacute,mico dentro del litoral murciano vinculado a la actividad pesquera.</p><p>Junto a las instalaciones portuarias se ubicaba (durante los siglos IV-V d.C.) una gran factor&iacute,a de salazones que ocupaba una amplia extensi&oacute,n al margen derecho de la bah&iacute,a.</p><p>El actual museo conserva parte de las estructuras de este importante complejo industrial fechado en &eacute,poca romana y destinado a la fabricaci&oacute,n de salazones y salsas de pescado.</p><p>La factor&iacute,a est&aacute, declarada Bien de Inter&eacute,s Cultural con Categor&iacute,a de Zona Arqueol&oacute,gica, mediante el Decreto n&ordm, 33/1995 de 12 de mayo (BORM n&ordm, 141 de 20/06/95), tanto por la entidad del conjunto romano, como por su extensi&oacute,n, adem&aacute,s de por su aporte al conocimiento de las bases econ&oacute,micas de la zona, durante la &eacute,poca imperial romana.</p><p>Esta Factor&iacute,a de Salazones es una muestra de la importancia que las industrias del pescado tuvieron en el per&iacute,odo romano, cuando los productos realizados en este tipo de empresas eran imprescindibles en toda la cocina del Imperio. Los elementos caracter&iacute,sticos comunes a todas las f&aacute,bricas eran las piletas o tanques de salaz&oacute,n, en las que se maceraba el pescado con sal y se realizaban diferentes productos como el denominado&nbsp,<em>Garum</em>, la m&aacute,s famosa de las salsas de pescado y que alcanzaba alt&iacute,simos precios en el mercado romano.</p><p>En el museo, adem&aacute,s de la exposici&oacute,n de los restos arqueol&oacute,gicos in situ de la Factor&iacute,a de Salazones, tambi&eacute,n se ofrece una exposici&oacute,n del rico patrimonio arqueol&oacute,gico con el que cuenta Mazarr&oacute,n y el Puerto de Mazarr&oacute,n.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/anforas_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/pasarela_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/armarios_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/ceraislam_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/jarritafundacional_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/paneles_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/pasarela2_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/tumbas_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/anfora_g.jpg;;;;;
5767;Museo Arqueológico Comarcal de Orihuela - MARQUO;C/ Hospital, 3;03300;Orihuela;;966 74 31 54;;;http://www.orihuelaturistica.es;;-0.950425;38.086411;<p>De Museo de Antig&uuml,edades del Colegio de Santo Domingo a Museo Arqueol&oacute,gico Comarcal de Orihuela. Lo que viene a continuaci&oacute,n es una transformaci&oacute,n poco com&uacute,n, pero que ha cosechado un gran &eacute,xito en esta urbe. El Museo de Antig&uuml,edades naci&oacute, en 1902 siendo obra del padre Julio Furg&uacute,s, del cual proceden parte de sus fondos. Desde que en 1970 se autorizase su construcci&oacute,n, comparti&oacute, varias ubicaciones. El museo ha pasado por el Palacio de Teodomiro, el Hospital Municipal, el palacio de Rubalcava, hasta llegar en 1997, a su sede actual: la iglesia de San Juan de Dios, templo construido a mediados del siglo XVIII. En su interior se encuentra el paso procesional El Triunfo de la Cruz, conocido como La Diablesa, realizado por Nicol&aacute,s de Bussy en 1694.</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5767-1_g.jpg;;;;;;;;;;;;;
12;Museo Arqueológico de Murcia;Av. Alfonso X 'el Sabio', 7;30008;Murcia;MURCIA;968 23 46 02;;museosregiondemurcia@carm.es;www.museosregiondemurcia.es;;-1.130467;37.989721;<p>El Museo Arqueol&oacute,gico se encuentra en la Casa de la Cultura. Al principio se construy&oacute, como Palacio Provincial de Archivos, Bibliotecas y Museos, gracias a los arquitectos Luis Moya y Jos&eacute, Luis Le&oacute,n. Abri&oacute, sus puertas en 1956. Es el mejor museo para conocer lo m&aacute,s caracter&iacute,stico de la arqueolog&iacute,a regional.<br /><br /><strong>&Eacute,POCA:</strong> Siglo XX<br /><strong>ESTILO:</strong> Historicista</p>;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-12-5_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00002920016_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00002920017_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00002920018_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/000029200110_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/000029200111_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/000029200113_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/000029200114_g.jpg;http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/000029200116_g.jpg;;;;;
99;Museo Arqueológico de Portmán;C/ Caridad, s/n;;La Unión;;968 541 614
